run,sigma_eff,truth_amp_ratio,old_epoch,old_rmse_truth,old_amp,disc_epoch,disc_rmse_truth,disc_amp,oracle_epoch,oracle_rmse_truth,final_rmse_truth,final_amp,tik_oracle_rmse,tik_disc_rmse,tik_disc_amp
white1_s0,1.000,2.275,3741,1.928,2.305,60,1.059,2.197,60,1.059,1.939,2.320,1.683,1.754,2.103
white1_s1,0.996,2.275,2520,1.893,2.323,60,1.136,2.322,60,1.136,1.875,2.299,1.674,1.736,2.098
white1_s2,0.998,2.275,3061,1.919,2.333,60,1.104,2.255,60,1.104,1.901,2.309,1.665,1.733,2.104
