tag,seed,size,epochs_run,time_sec,noise,noise_type,sigma_low,sigma_high,w1,w2,w_bg,gauss_km,lam_tik,stop_rule,n_R1,n_R2,n_R3,std_truth0,oracle_epoch,oracle_rmse_fit_1500,oracle_rmse_fit_5000,oracle_rmse_ROI,oracle_rmse_R1,oracle_rmse_R2,oracle_rmse_R3,oracle_std_0,disc_epoch,disc_rmse_fit_1500,disc_rmse_fit_5000,disc_rmse_ROI,disc_rmse_R1,disc_rmse_R2,disc_rmse_R3,disc_std_0,final_epoch,final_rmse_fit_1500,final_rmse_fit_5000,final_rmse_ROI,final_rmse_R1,final_rmse_R2,final_rmse_R3,final_std_0,tik_1500_alpha_disc,tik_1500_rmse_ROI,tik_1500_rmse_R1,tik_1500_rmse_R2,tik_1500_rmse_R3,tik_5000_alpha_disc,tik_5000_rmse_ROI,tik_5000_rmse_R1,tik_5000_rmse_R2,tik_5000_rmse_R3
A,0,301,33,2.2352242469787598,1.0,white,1.0028153266807927,1.0049817872092015,1.0,0.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,13,3.111764342022604,4.9556656687609575,11.844223017212656,4.0994503004511476,27.52986782046593,6.545853776963599,3.2994682788848877,32,0.9927860335475458,5.704796722126923,12.121143717601695,0.736199806962522,28.573931972678302,7.538221694135782,6.9950032234191895,32,0.9927860335475458,5.704796722126923,12.121143717601695,0.736199806962522,28.573931972678302,7.538221694135782,6.9950032234191895,0.05623413251903491,12.089802738554036,1.8067849945292178,28.41926902886825,7.417217902287771,0.004216965034285823,6.0383784767332225,4.840683445930167,3.1583871843296984,7.961537463381312
A,1,301,35,1.9947278499603271,1.0,white,0.9990578926256856,1.0058914779089023,1.0,0.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,15,2.4729311518082366,5.091699857538757,11.768438570999159,3.195145652418335,27.73719531193361,6.453499282935757,4.087034225463867,34,0.9730449096888246,5.569399623581077,12.040185766127152,0.7195390958478903,28.452913639316712,7.380946620553666,6.784576892852783,34,0.9730449096888246,5.569399623581077,12.040185766127152,0.7195390958478903,28.452913639316712,7.380946620553666,6.784576892852783,0.05623413251903491,12.043984958192523,1.7996882867654584,28.371362823040663,7.295490328977905,0.004216965034285823,6.052648229258606,4.88358097418153,3.0981083415543638,7.967316194443626
A,2,301,40,2.24715256690979,1.0,white,0.9950407183477329,1.0012446590003043,1.0,0.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,16,2.6375439572456116,5.0137659662556455,11.815668904899495,3.369801931747644,27.6404875665718,6.734015733953255,3.972264289855957,39,0.9752265974456454,5.6391781750871735,12.077905433097502,0.7428007798823141,28.51481482308035,7.443982510769499,6.843037128448486,39,0.9752265974456454,5.6391781750871735,12.077905433097502,0.7428007798823141,28.51481482308035,7.443982510769499,6.843037128448486,0.05623413251903491,12.077049333071722,1.7904094342238024,28.4066031626503,7.386780720058076,0.004216965034285823,6.223109588876585,4.950919005578865,3.023921552369564,8.269203848507908
C,0,301,213,11.17780065536499,1.0,white,1.0028153266807927,1.0049817872092015,1.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,129,0.952401718188542,1.4134679643694745,5.362958047794552,0.7836545875691023,7.038295616394391,7.433978099056388,10.874210357666016,212,0.9509589099880104,1.5352852378834956,5.618458240460868,1.254715587594068,7.651981913616484,7.605256514892889,10.30256175994873,212,0.9509589099880104,1.5352852378834956,5.618458240460868,1.254715587594068,7.651981913616484,7.605256514892889,10.30256175994873,0.05623413251903491,12.089802738554036,1.8067849945292178,28.41926902886825,7.417217902287771,0.004216965034285823,6.0383784767332225,4.840683445930167,3.1583871843296984,7.961537463381312
C,1,301,315,16.38920783996582,1.0,white,0.9990578926256856,1.0058914779089023,1.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,234,0.8792091493173839,1.4100295351743726,5.3833858427474715,1.2566560716587623,7.01238063524232,7.402371202987171,10.2770414352417,314,0.8665061140593046,1.6355865795661106,5.598592431443621,1.4879518382475698,7.8752416019742615,7.4194946608682955,10.026004791259766,314,0.8665061140593046,1.6355865795661106,5.598592431443621,1.4879518382475698,7.8752416019742615,7.4194946608682955,10.026004791259766,0.05623413251903491,12.043984958192523,1.7996882867654584,28.371362823040663,7.295490328977905,0.004216965034285823,6.052648229258606,4.88358097418153,3.0981083415543638,7.967316194443626
C,2,301,216,11.732033252716064,1.0,white,0.9950407183477329,1.0012446590003043,1.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,134,0.9882473062805883,1.413637689273338,5.3183124088075395,0.8867841478723278,6.696245445179511,7.46289833068865,10.957704544067383,215,0.9866581233194991,1.6759158714489253,5.493146856334591,1.1738140472320588,7.769980462177721,7.3252456488997915,10.28191089630127,215,0.9866581233194991,1.6759158714489253,5.493146856334591,1.1738140472320588,7.769980462177721,7.3252456488997915,10.28191089630127,0.05623413251903491,12.077049333071722,1.7904094342238024,28.4066031626503,7.386780720058076,0.004216965034285823,6.223109588876585,4.950919005578865,3.023921552369564,8.269203848507908
D,0,301,209,10.721026420593262,1.0,white,1.0028153266807927,1.0049817872092015,0.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,143,1.0628881413422768,1.3868145489537647,5.30925173789026,0.9304241610602149,6.6852317696589605,7.443208073774076,10.596323013305664,208,1.0652296673078194,1.4824050337905197,5.464466735520874,0.9383423529296463,7.329708113707451,7.492876535633293,10.139429092407227,208,1.0652296673078194,1.4824050337905197,5.464466735520874,0.9383423529296463,7.329708113707451,7.492876535633293,10.139429092407227,0.05623413251903491,12.089802738554036,1.8067849945292178,28.41926902886825,7.417217902287771,0.004216965034285823,6.0383784767332225,4.840683445930167,3.1583871843296984,7.961537463381312
D,1,301,233,12.321379661560059,1.0,white,0.9990578926256856,1.0058914779089023,0.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,223,1.0937626627770347,1.4020282444233017,5.277955443023941,1.0249948280318493,6.932084421300805,7.2753160964227,10.236416816711426,232,1.1300713560904372,1.5097267961850285,5.454462783614296,1.0640488432530884,7.526452578873436,7.372595492624584,10.09499740600586,232,1.1300713560904372,1.5097267961850285,5.454462783614296,1.0640488432530884,7.526452578873436,7.372595492624584,10.09499740600586,0.05623413251903491,12.043984958192523,1.7996882867654584,28.371362823040663,7.295490328977905,0.004216965034285823,6.052648229258606,4.88358097418153,3.0981083415543638,7.967316194443626
D,2,301,195,10.398268938064575,1.0,white,0.9950407183477329,1.0012446590003043,0.0,1.0,0.1,1.8,0.1,disc,31941,10446,25734,12.607103494283484,181,1.0316610735196472,1.3793730011465524,5.261792043748833,0.8621136218007487,6.679389524546401,7.365932931196624,10.405265808105469,194,1.0347987736316022,1.4404861415955683,5.412202804203698,0.8867559333303949,7.137608238844188,7.475520642168177,10.294171333312988,194,1.0347987736316022,1.4404861415955683,5.412202804203698,0.8867559333303949,7.137608238844188,7.475520642168177,10.294171333312988,0.05623413251903491,12.077049333071722,1.7904094342238024,28.4066031626503,7.386780720058076,0.004216965034285823,6.223109588876585,4.950919005578865,3.023921552369564,8.269203848507908
