Epoch,Total,L1,L2,Lbg,r1500,r5000,rmse_ROI,rmse_R1,rmse_R2,rmse_R3
0.0,35.2586555480957,0.0,32.972991943359375,22.848896026611328,5.660027769176441,5.269197959261806,12.591169104124788,7.723212433620019,27.481335669841076,6.250672471470109
1.0,42.20000076293945,0.0,39.18781661987305,30.10148048400879,5.47476278310743,5.211065124453024,12.512532778032952,7.4764877551421165,27.4629920445993,6.237716987155481
2.0,28.338945388793945,0.0,27.448923110961914,8.87216854095459,5.544400565869775,5.225782072618968,12.54035136606995,7.572063619587413,27.467359828511512,6.234693839704794
3.0,27.76999855041504,0.0,25.994346618652344,17.745346069335938,5.3615237921726004,5.180603986052696,12.46588487294463,7.322578977037178,27.45482875361297,6.231675295946239
4.0,25.961389541625977,0.0,24.844114303588867,11.1504545211792,5.081906106429282,5.1298611816875574,12.363636700438024,6.936735152249255,27.451559190951933,6.246208417754793
5.0,24.690027236938477,0.0,23.75924301147461,9.26406478881836,4.972979181317671,5.107820327058355,12.322019745273257,6.78255806020338,27.441518350315697,6.256575647388114
6.0,23.7241153717041,0.0,22.294422149658203,14.236845016479492,4.594927765731557,5.05279232350097,12.195060286816242,6.25458095158504,27.43531400549385,6.291810014913894
7.0,23.02998924255371,0.0,21.91124153137207,11.098031997680664,4.301094898680763,5.003051697907666,12.083267445900269,5.847626065575984,27.390919275664157,6.285156227430045
8.0,23.320743560791016,0.0,22.34684181213379,9.620635986328125,4.126021398079067,4.93682372205767,12.004106069424653,5.599745777449024,27.32415933268653,6.2817534403792
9.0,22.267736434936523,0.0,20.909591674804688,13.448740005493164,3.701807414426909,4.978658202368571,11.920298988078411,4.946014125396278,27.379509384082116,6.440553452078722
10.0,23.262378692626953,0.0,22.26918601989746,9.789515495300293,3.369305733945168,4.9757406967977476,11.864911384855647,4.455265630703784,27.388881791417447,6.596325080511311
11.0,22.974733352661133,0.0,22.214977264404297,7.454992294311523,3.324361177231835,4.8308183190935265,11.77553499315586,4.446885938153115,27.211732111454,6.475899445063166
12.0,21.474584579467773,0.0,20.504249572753906,9.562477111816406,4.027147448256501,4.849183346687668,11.855386426415642,5.417098512973774,27.062590110951966,6.191897280125569
13.0,22.851043701171875,0.0,20.792800903320312,20.44455337524414,3.9598396121577473,4.827086449364167,11.805308767765801,5.309373086771166,26.97489881215468,6.209736216053998
14.0,22.752744674682617,0.0,20.682132720947266,20.565351486206055,3.129231027908506,4.690658677365036,11.585844594202266,4.178615997914308,26.887614963765675,6.340069792173313
15.0,21.15520668029785,0.0,19.91240692138672,12.282063484191895,2.5195479937755554,4.785812952891299,11.603723257988017,3.2670203267245803,27.03581374248695,6.817229566735651
16.0,21.32209014892578,0.0,20.550472259521484,7.5684990882873535,2.553718000850282,4.806099094645067,11.600822518501445,3.2233119051900267,26.942111633719595,6.978655860424418
17.0,21.280853271484375,0.0,20.350263595581055,9.161408424377441,2.4321479263622114,4.625205477249268,11.457654850042973,3.1240803681997455,26.66111388482877,6.845350737087788
18.0,20.716527938842773,0.0,19.61787986755371,10.842324256896973,2.4873538117353227,4.558083020066254,11.272481189925522,3.217598229835436,26.416041869875297,6.345159968521205
19.0,20.2734375,0.0,19.141841888427734,11.163108825683594,2.5909057561960966,4.595727648742112,11.252962732445592,3.3510328507419573,26.36052391921236,6.260886413784739
20.0,20.176103591918945,0.0,18.892942428588867,12.664584159851074,2.2016096219751256,4.454720766602655,11.1705062302245,2.8105989111065326,26.148747127226454,6.553729074821095
21.0,19.86825942993164,0.0,18.659299850463867,11.910964012145996,1.9530555189341932,4.388538975688505,11.111976422680915,2.4623287033764854,25.949997867530666,6.780967142191394
22.0,19.398168563842773,0.0,18.171649932861328,12.077917098999023,2.122516061534865,4.370813379137166,10.975530081855194,2.704298630817449,25.724800334330293,6.416833690666903
23.0,19.697872161865234,0.0,18.069110870361328,16.090715408325195,1.8634754361326433,4.28382852101052,10.944705317651293,2.322209579773359,25.49802598893986,6.8180749414761355
24.0,19.292587280273438,0.0,17.83713722229004,14.351754188537598,1.7540489471175076,4.359934902721917,11.024191959368059,2.1160935379717607,25.545290556863073,7.15994336963761
25.0,18.971115112304688,0.0,17.82526397705078,11.24944019317627,2.0145638921614997,4.662087970953142,11.144358112064113,2.4295407937402387,25.781206498717577,7.185596226001293
26.0,19.936899185180664,0.0,18.13233757019043,17.840364456176758,2.0821201881739455,4.451205538566129,11.051052991352742,2.4999985889672094,25.472091773464392,7.221546714267136
27.0,19.248912811279297,0.0,17.541698455810547,16.865036010742188,2.005479583505377,4.492848051948415,11.000057907684004,2.3805460218536902,25.408051810170793,7.156836361072068
28.0,19.899906158447266,0.0,18.670970916748047,12.07494068145752,2.0638938604916084,4.40076256450485,10.956826465575332,2.457348006180539,25.287838378801077,7.1218136023011365
29.0,19.18583869934082,0.0,17.841896057128906,13.226147651672363,1.9771152017648397,4.272475991705092,10.849377454172245,2.3594275435159995,24.918097290521175,7.25524066392567
30.0,18.471858978271484,0.0,16.872655868530273,15.789244651794434,1.8574831238181435,4.20594608771835,10.817215171894706,2.210786087825931,24.743686910223513,7.426503937785348
31.0,18.6365909576416,0.0,17.119932174682617,14.967361450195312,1.8120121657420354,4.329830264417623,10.838402454953997,2.0800178941355565,24.71231180001811,7.595645062477262
32.0,18.254323959350586,0.0,16.878192901611328,13.556835174560547,1.9322730258583047,4.178907228068333,10.568616409845085,2.187531845667219,24.29369197059926,7.082642636201311
33.0,18.07988739013672,0.0,16.380741119384766,16.770347595214844,1.7237928653392696,4.135051409641168,10.55528525764956,2.0048790891242882,24.203105515931746,7.221642071839635
34.0,17.58655548095703,0.0,15.83487319946289,17.28799819946289,1.4226694566637685,4.217335542450724,10.674073761977947,1.5796215307896317,24.464052822067945,7.454166774589396
35.0,17.71294593811035,0.0,16.09162139892578,15.980927467346191,1.374496809685067,4.108218863464768,10.668949439216128,1.493388572952429,24.449332089613605,7.476381623094925
36.0,17.46497344970703,0.0,15.782605171203613,16.585819244384766,1.506075686171316,4.107296980461334,10.581462978404224,1.6515529246856107,24.191462956001924,7.4464105037262796
37.0,17.1201114654541,0.0,15.289996147155762,18.058631896972656,1.5619701804493191,3.9878513615642452,10.314504587416979,1.7708289889754223,23.630041535186635,7.146606955234807
38.0,16.75186538696289,0.0,14.6558198928833,20.703285217285156,1.6044464502632272,4.001789431837939,10.37012984487002,1.7550769920106963,23.80093036960625,7.134318600851008
39.0,16.68301773071289,0.0,14.850919723510742,18.064159393310547,1.5132906460821691,3.942925115303117,10.248439416451234,1.6392984750987318,23.448963169447214,7.176008376142372
40.0,17.027795791625977,0.0,15.020001411437988,19.8118839263916,1.386863491359603,3.9265902139070197,10.147560356978548,1.4930892965826899,23.211152859770504,7.149911406448517
41.0,16.332544326782227,0.0,14.297194480895996,20.09046173095703,1.4164965513153904,3.8316271620614235,10.111679265115727,1.5408764033393143,23.04941432291579,7.214858334370636
42.0,15.929645538330078,0.0,13.997074127197266,19.0599422454834,1.6650232167896821,3.905837632825486,10.085374152625908,1.8624721264529163,22.807917231377306,7.333802405264094
43.0,16.656381607055664,0.0,14.156635284423828,24.731157302856445,1.6830447602395866,3.804835788346813,10.058011650990386,1.8813551303862737,22.593103636730593,7.4964490738910365
44.0,15.768643379211426,0.0,13.62987995147705,21.118547439575195,1.572237065848984,3.816971830719012,10.074285612744621,1.7520111214275143,22.61719309075343,7.563415287460341
45.0,15.882664680480957,0.0,14.009164810180664,18.457046508789062,1.5047161914456522,3.7597678424168057,9.973637713116847,1.6858189949673819,22.503701390797495,7.363765961755477
46.0,15.723281860351562,0.0,13.340593338012695,23.544740676879883,1.4858946220094686,3.65915037240465,9.827945687986848,1.6673604053466293,22.12085339383797,7.321205699807611
47.0,15.038769721984863,0.0,12.783198356628418,22.273483276367188,1.5878648901725934,3.6570904459104323,9.793330920828721,1.8144811822567082,21.99433617856352,7.309715876226468
48.0,14.947077751159668,0.0,12.983760833740234,19.34541130065918,1.6404485280683916,3.6165675531349004,9.745718296473719,1.9019401569117413,21.899502072214233,7.228802684805437
49.0,14.727926254272461,0.0,12.38892936706543,23.098844528198242,1.5168123449716955,3.6014188397705813,9.669230584250903,1.746645852697413,21.665211730926114,7.291846974246459
50.0,14.329906463623047,0.0,11.806883811950684,24.934982299804688,1.407196578202314,3.670967757233835,9.783915410782633,1.5522131671514512,22.027695844148248,7.310528757009264
51.0,14.24013900756836,0.0,12.116052627563477,20.944732666015625,1.388242794464594,3.5126285099512384,9.581159311871193,1.5311111620919755,21.529058580699832,7.207440590692718
52.0,13.478476524353027,0.0,10.973124504089355,24.744997024536133,1.5552158861494285,3.5381042547002046,9.49527457989659,1.8247284041411562,21.17071323126891,7.252472284084819
53.0,14.33067798614502,0.0,11.459922790527344,28.375991821289062,1.4776119273838482,3.3417970266712054,9.330866509837737,1.7044125246161448,20.602590760036325,7.386851957432729
54.0,13.257476806640625,0.0,10.512643814086914,27.11054229736328,1.347414690225409,3.6041852130497447,9.616666204216942,1.4628288627566617,21.459033760761674,7.431506277488475
55.0,14.179616928100586,0.0,11.510917663574219,26.359140396118164,1.3084974695257072,3.6659555172803433,9.705405537270375,1.386636111236451,21.66104624564758,7.516627069757008
56.0,13.674911499023438,0.0,11.063068389892578,25.785175323486328,1.3964832902179096,3.530618802948308,9.361928229486399,1.5231822616712583,20.68717330078062,7.443854152691203
57.0,12.811164855957031,0.0,10.086203575134277,26.908140182495117,1.5570924706684255,3.5738529435610094,9.142671260632326,1.7618358025380587,20.257419492315012,7.130250344950159
58.0,13.531143188476562,0.0,10.633792877197266,28.63232421875,1.6621364145640556,3.256372975318587,8.925657025202373,1.9730082563593194,19.633415334782203,7.041746296205401
59.0,12.827349662780762,0.0,9.830756187438965,29.61597442626953,1.6580636650072627,3.242811665987041,8.944968426661143,1.9756765316244698,19.332684348809806,7.4325887506292
60.0,11.735859870910645,0.0,8.926780700683594,27.732786178588867,1.6082787697688097,3.26385036741487,8.917548066042793,1.8834464643702622,18.99814154248471,7.719706151338602
61.0,12.323399543762207,0.0,9.269436836242676,30.17937660217285,1.4709231665301798,3.1956119696046548,8.82668416038187,1.6563757110959998,18.6629538194296,7.838859571646399
62.0,11.976178169250488,0.0,9.093274116516113,28.460445404052734,1.365636427438133,3.272588574851704,8.747971473493248,1.493838560729691,18.419617228914117,7.879353626344549
63.0,11.516261100769043,0.0,8.591910362243652,28.86542510986328,1.4037384026232955,2.9605097998887255,8.43559108451127,1.6013039239454328,17.565318145083765,7.7421539007627205
64.0,11.195762634277344,0.0,7.774319648742676,33.833377838134766,1.4945081639403415,3.0488318003251003,8.301078714284253,1.763499644810437,17.229945965633974,7.618462693153583
65.0,11.20711612701416,0.0,8.05544376373291,31.128732681274414,1.5102598963104166,2.679689738537488,7.909451437451974,1.7756985248957091,16.209409654919337,7.4185381623589715
66.0,10.323226928710938,0.0,6.906234264373779,33.77031707763672,1.5102314417773142,2.821478788230285,7.869106096656274,1.7302655004871752,16.170719501606236,7.35226610512854
67.0,10.076142311096191,0.0,6.576939582824707,34.58595657348633,1.4084565897189265,2.664015284699755,7.730576811090639,1.522964824883494,15.621724500013588,7.500489101398969
68.0,9.976175308227539,0.0,6.654827117919922,32.79291915893555,1.2009862085830076,3.033836210600899,7.787021690492527,1.1852065335286315,15.865756573547051,7.522776500461435
69.0,10.201156616210938,0.0,7.147191524505615,30.109806060791016,1.186715389716999,2.5567119621471828,7.586886419569427,1.1407500059063111,15.303716394915565,7.4623611310818605
70.0,9.584861755371094,0.0,5.975691795349121,35.656673431396484,1.147414317194276,2.563161723694778,7.439168542907302,1.0894735718534991,14.83787803339257,7.460078990887969
71.0,9.039466857910156,0.0,5.533912181854248,34.60424041748047,1.239348925676484,2.4131741230393815,7.188337950201889,1.25696335592872,14.102674144039925,7.354557555695911
72.0,9.34080696105957,0.0,5.230062007904053,40.643394470214844,1.3454949174977002,2.852158119016935,7.457465204278771,1.4254776713545447,14.891416927321478,7.39454690262926
73.0,9.666346549987793,0.0,5.84300422668457,37.75559997558594,1.4141941797098307,2.5526045713147525,7.4069655354738915,1.5790440982987661,14.680555233446421,7.3926146463608395
74.0,9.291526794433594,0.0,5.182949542999268,40.60198974609375,1.2994254043065356,2.5991175932003285,7.285050899178828,1.4117847168366686,14.25087099121508,7.454956552015726
75.0,8.907601356506348,0.0,5.158518314361572,37.0070915222168,1.3108780672296982,2.3413298760856693,7.115523034093131,1.3980522827960078,13.508917312846728,7.584353905091047
