alpha,rmse_fit,rmse_truth,amp_ratio
0.0001,0.9313394757912822,15.296372051457011,4.800780780194674
0.0001333521432163324,0.9353001613239427,13.02813479066433,4.256888214204514
0.00017782794100389227,0.9391285504326599,11.089895683895113,3.8125359677619852
0.00023713737056616554,0.9428269277612976,9.434317846745882,3.4536198720846785
0.00031622776601683794,0.9463978823533227,8.020950893835447,3.167318752464637
0.00042169650342858224,0.9498451607444164,6.815136150747876,2.9418634324394137
0.0005623413251903491,0.9531749755898451,5.7870828725961285,2.7664676357595637
0.0007498942093324559,0.9563979596515787,4.911130762239158,2.631381615427051
0.001,0.9595321484976689,4.165190133800003,2.527990629626676
0.001333521432163324,0.9626080121288471,3.5303212636371923,2.44887738638371
0.0017782794100389228,0.9656771444957881,2.990407749813781,2.387800581763904
0.0023713737056616554,0.9688274764364955,2.5319083218470095,2.3395856731170954
0.0031622776601683794,0.9722093672631473,2.1437279249885206,2.29995373528935
0.004216965034285823,0.9760792596336002,1.8173171390218716,2.265322214960353
0.005623413251903491,0.9808706772010125,1.5471820860189178,2.232605445479426
0.007498942093324558,0.9873054330834256,1.3320256677102256,2.1990338919244543
0.01,0.996558508855795,1.1765005618722997,2.1620057663198593
0.01333521432163324,1.01048138237541,1.0923248465045232,2.118984265797912
0.01778279410038923,1.0318596483291689,1.0952220692734984,2.067456639170238
0.023713737056616554,1.0646180319745848,1.196025540494624,2.004974415410617
0.03162277660168379,1.1137958689938703,1.3943222154813135,1.929292844781776
0.042169650342858224,1.1850626333984984,1.6819908471537863,1.8386161929884464
0.05623413251903491,1.2836536821748978,2.04910707040996,1.7319294981792153
0.07498942093324558,1.4129353981047676,2.4853378838099074,1.6093584790242412
0.1,1.573141487045217,2.9784809759792514,1.4724601909892416
0.1333521432163324,1.7608118368516759,3.5131046929336747,1.3243298697929045
0.1778279410038923,1.9691115651461106,4.07049765354206,1.1694341476698262
0.23713737056616552,2.1888581719040685,4.629984318921851,1.0131503381955889
0.31622776601683794,2.409939073948534,5.171130382470523,0.8610854200521834
0.4216965034285822,2.6227861306888665,5.676137577142963,0.7183301648114587
0.5623413251903491,2.8195968324690424,6.131740989180045,0.5888353327240159
0.7498942093324559,2.99506769963814,6.530149761721774,0.4750570812918657
1.0,3.146554953532725,6.868927944230655,0.3779221025932437
1.333521432163324,3.2737499568667854,7.150047252682639,0.29705742968162735
1.7782794100389228,3.3780713718443502,7.378523517992839,0.23116571646015435
2.371373705661655,3.461990749230467,7.561037152714282,0.17842277970999426
3.1622776601683795,3.52844677356307,7.704801074231691,0.13681254012100827
4.216965034285822,3.5804192698543695,7.81677749302597,0.10436361811606593
5.623413251903491,3.620666902464337,7.903225978565494,0.07928921254378557
7.498942093324558,3.651597153065902,7.969507201087741,0.06005088194203456
10.0,3.675227115725784,8.020055673102878,0.04537126113450017
