Epoch,Total,L1,L2,Lbg,r_z1,r_z2,std_0
0.0,24.41197967529297,14.130661964416504,8.736985206604004,15.431859016418457,3.5790903490693307,3.436824033032255,0.5468846559524536
1.0,15.394149780273438,3.7582695484161377,10.886604309082031,7.335124492645264,3.4690476581265344,3.4496608971302125,0.6779711246490479
2.0,13.091299057006836,2.341365337371826,10.312825202941895,4.223834991455078,3.232892595890016,3.192978485133494,1.115731954574585
3.0,9.14270305633545,1.9210892915725708,6.947750568389893,2.5814976692199707,3.1387026428174654,3.0688152974783045,1.3108148574829102
4.0,9.969380378723145,2.5546317100524902,6.989133358001709,4.110341548919678,2.95896761900862,3.0599421732175416,1.4610934257507324
5.0,9.036948204040527,1.7193135023117065,6.970389366149902,3.304661273956299,2.7491593785767137,3.102079416241555,1.657152533531189
6.0,8.532796859741211,1.0804797410964966,7.181311130523682,2.5239412784576416,2.4433211620568316,2.7637990824756034,2.283579111099243
7.0,8.178312301635742,1.089462399482727,6.833369255065918,2.36957049369812,2.515421249931694,2.779492663879605,2.1770596504211426
8.0,8.018342971801758,1.337231993675232,6.367247104644775,2.9679603576660156,2.3969036249318916,2.697211700000104,2.3643882274627686
9.0,7.689582824707031,0.9934060573577881,6.378925323486328,2.9777517318725586,2.2329500771855337,2.7131477832919235,2.4675137996673584
10.0,7.4355645179748535,0.5833001732826233,6.588632583618164,2.395529270172119,2.2419820597278872,2.703721890446408,2.4368016719818115
11.0,7.2712812423706055,0.5575501918792725,6.463656425476074,2.2283310890197754,1.9542208456255246,2.442393414590174,3.291870594024658
12.0,7.490231990814209,0.4128565490245819,6.777063369750977,2.725651264190674,1.8869422566544722,2.425845182950602,3.3122987747192383
13.0,7.242537975311279,0.3883640468120575,6.564249515533447,2.614483118057251,2.1154085873917396,2.68659944674154,2.502359628677368
14.0,6.9804911613464355,0.3690822422504425,6.323194980621338,2.5880589485168457,2.1401955502532095,2.6194015858213726,2.6109087467193604
15.0,6.803033351898193,0.6228445172309875,5.843958377838135,3.072925567626953,1.7385055023719174,2.3713006108468235,3.6908929347991943
16.0,6.759257793426514,0.6110064387321472,5.762298583984375,3.584244728088379,1.492870304981165,2.430927187537443,3.608739137649536
17.0,6.387702465057373,0.39115092158317566,5.630224704742432,3.3869411945343018,1.6237056582564788,2.7905350397981263,3.1316885948181152
18.0,6.686596870422363,0.37969544529914856,5.914470195770264,3.640886068344116,1.5445556737190322,2.530362166218436,3.4697673320770264
19.0,6.15931510925293,0.4582539498806,5.303365707397461,3.7016725540161133,1.3513568007933092,2.565967217939807,4.842835426330566
20.0,6.270393371582031,0.5459304451942444,5.311498641967773,3.866335391998291,1.1988280218835843,2.477285946447309,4.773438453674316
21.0,5.962750434875488,0.3758554756641388,5.151378154754639,4.087206840515137,1.2880188955663145,2.366460953197787,3.6906626224517822
22.0,5.93627405166626,0.2958970367908478,5.180020332336426,4.319125652313232,1.2384942854320249,2.507805995901739,3.838430404663086
23.0,5.744999885559082,0.45532166957855225,4.830599784851074,4.298671722412109,1.0884706495831151,2.2553765498183616,4.677667617797852
24.0,5.5437750816345215,0.5835616588592529,4.482821941375732,4.492149829864502,1.010334758909521,2.432725763642191,4.587351322174072
25.0,5.7890448570251465,0.30865445733070374,5.024848461151123,4.27293586730957,1.1758835877783422,2.3891699905047403,4.764459133148193
26.0,5.752292633056641,0.3445151746273041,4.8729424476623535,5.071482181549072,1.1257012705147942,2.3879146260995814,4.757423400878906
27.0,5.612077236175537,0.3220626711845398,4.790536403656006,4.7135162353515625,1.0417927163060245,2.060470108795369,4.529351711273193
28.0,5.442625045776367,0.5244895219802856,4.436208724975586,4.529451370239258,1.1403857528026156,2.1177478452603222,4.738368034362793
29.0,5.706809043884277,0.879537045955658,4.289429187774658,5.085707187652588,0.8622457842955806,2.2240948371837668,5.2666916847229
30.0,5.284586429595947,0.6854075193405151,4.03739070892334,5.331321716308594,0.663023617306194,2.252336547556535,5.2715888023376465
31.0,5.33180570602417,0.2744172215461731,4.471138954162598,5.581772804260254,0.7914950004360614,2.2433686757785334,5.192183017730713
32.0,5.329211235046387,0.2649591267108917,4.495546817779541,5.412578582763672,0.9089268717825599,2.2693823060727856,5.225253105163574
33.0,5.206212043762207,0.33072635531425476,4.34523868560791,5.032961845397949,0.7817736722191708,2.0459863767321793,5.151522636413574
34.0,4.98593807220459,0.5219696164131165,3.8992578983306885,5.3704962730407715,0.879517139744103,1.968908437244418,4.808321475982666
35.0,4.994180679321289,0.6016601920127869,3.7380614280700684,6.254517078399658,0.7477900531149574,1.9553849951973594,5.255979061126709
36.0,4.903010368347168,0.6170126795768738,3.590738534927368,6.6591057777404785,0.9440096792602568,2.3668549271010733,5.804192066192627
37.0,4.7781572341918945,0.4430713355541229,3.7113208770751953,5.934493064880371,0.7567338013324894,2.2629301680678435,5.798532009124756
