Epoch,Total,L1,L2,Lbg,r_z1,r_z2,std_0
0.0,15.674995422363281,14.130661964416504,0.0,15.431859016418457,3.5939450331080955,3.4852791675709254,0.4942282736301422
1.0,3.4889914989471436,3.0770232677459717,0.0,3.959608793258667,3.3500629592733087,3.3189123583229843,0.8814733028411865
2.0,2.1928482055664062,1.949150800704956,0.0,2.183316469192505,3.2234703974132355,3.242280620924167,1.0825836658477783
3.0,1.2081706523895264,0.9210291504859924,0.0,2.6210575103759766,2.840339445002088,2.7637889785882037,2.0189409255981445
4.0,1.355552315711975,1.0829108953475952,0.0,2.354480743408203,2.680913627677351,2.701370493996504,2.3125085830688477
5.0,0.7050856947898865,0.5485137701034546,0.0,1.204541802406311,2.7173637808475464,2.9307987916794462,1.9848705530166626
6.0,0.5722413659095764,0.4292856454849243,0.0,1.086134910583496,2.5004812934220375,2.836054887250099,2.3591434955596924
7.0,0.4822350740432739,0.3547374904155731,0.0,0.8988346457481384,2.259406713341208,2.572253119851341,3.314286470413208
8.0,0.32186487317085266,0.2356678992509842,0.0,0.4377683997154236,1.9128314671455564,2.6706221327794464,4.37872314453125
9.0,0.4791950583457947,0.3733723759651184,0.0,0.6210556626319885,1.8482565462179108,2.6455577583517695,4.419262409210205
10.0,0.31344348192214966,0.228199303150177,0.0,0.39943474531173706,2.072657650839158,2.6944078783725884,3.528778553009033
11.0,0.3263166546821594,0.2574819028377533,0.0,0.21620124578475952,2.0459223624318295,3.0122893740327426,3.228404998779297
12.0,0.31974348425865173,0.24092385172843933,0.0,0.3149692118167877,1.6686650416101554,2.9290935737387245,3.7549281120300293
13.0,0.23248642683029175,0.15621650218963623,0.0,0.30361658334732056,1.3355147450510279,2.672820243888557,4.888216018676758
14.0,0.2073253095149994,0.14102977514266968,0.0,0.21372346580028534,1.4461098257860545,2.8273409316905926,5.374715328216553
15.0,0.2172442227602005,0.14758934080600739,0.0,0.24223977327346802,1.3649242403082644,2.767239470508636,5.267085075378418
16.0,0.1782660186290741,0.11038973182439804,0.0,0.2042708396911621,1.1193996789206644,2.665088077744857,4.974713325500488
17.0,0.15183156728744507,0.09056100249290466,0.0,0.11573626846075058,1.050284079124831,2.687098128622598,4.966704368591309
18.0,0.1611444652080536,0.09258560836315155,0.0,0.18074306845664978,1.0461653849898525,2.735861932021036,5.428411483764648
19.0,0.1446813941001892,0.08176907896995544,0.0,0.12233522534370422,1.0703757469663873,3.0253979341975774,6.193138122558594
20.0,0.14936015009880066,0.08386294543743134,0.0,0.15137873589992523,0.8951700086328351,3.0234480904917596,6.320760726928711
