alpha,rmse_fit,rmse_truth,amp_ratio
0.0001,0.9207864292772813,54.93035583197725,14.525449652598365
0.0001333521432163324,0.9661695906926511,47.681571037538845,12.659274531821934
0.00017782794100389227,1.0103191210166758,41.28983081329333,11.021307565879704
0.00023713737056616554,1.053160204020267,35.67318820639996,9.59080952635456
0.00031622776601683794,1.0945815573243112,30.760119780141878,8.349746623625105
0.00042169650342858224,1.134465372978081,26.485584478505807,7.281688080395256
0.0005623413251903491,1.172722089644103,22.78749687414423,6.370800039133434
0.0007498942093324559,1.2093199846617197,19.604622271175327,5.601211593099993
0.001,1.2443024814489705,16.876208559905137,4.9568490948027355
0.001333521432163324,1.2777909309757884,14.543047866565134,4.421667042668697
0.0017782794100389228,1.309976092993082,12.549279628886762,3.9800940351634835
0.0023713737056616554,1.3411065594280294,10.844160280948,3.6174828580601974
0.0031622776601683794,1.3714846436504071,9.383227269969757,3.3204091621613427
0.004216965034285823,1.4014804152227358,8.128671681124766,3.0767702370200296
0.005623413251903491,1.4315727720567386,7.0491077103988635,2.8757297692965347
0.007498942093324558,1.462425099589006,6.119130309135473,2.7075899561907364
0.01,1.495002068777723,5.31907783797439,2.5636556008292253
0.01333521432163324,1.5307309144328471,4.6353626835008805,2.436124296815811
0.01778279410038923,1.5716971843934333,4.061639501669258,2.3180197498041064
0.023713737056616554,1.620834417322836,3.6007701637042984,2.203183557111576
0.03162277660168379,1.6820145621713019,3.266505582798903,2.086343815446595
0.042169650342858224,1.7598864228848075,3.081585113573158,1.9632745490051162
0.05623413251903491,1.859297124396659,3.067751919165828,1.8310377984416089
0.07498942093324558,1.9842468455474975,3.2298448404472233,1.6882588679976909
0.1,2.1365912846661215,3.547617158046861,1.535339862192755
0.1333521432163324,2.314968760348317,3.9829908544870376,1.3744950003086551
0.1778279410038923,2.5144510176207215,4.492721829977508,1.2095165502359417
0.23713737056616552,2.7271270355075368,5.036479172260847,1.0452538980254038
0.31622776601683794,2.94343300189023,5.580134655552295,0.886885472158373
0.4216965034285822,3.1537835834289254,6.09701331302961,0.7391438298782913
0.5623413251903491,3.3500244808072606,6.568374698647677,0.6056801189799448
0.7498942093324559,3.5263635513567215,6.9832278339308855,0.4887082595474425
1.0,3.6796615048356514,7.337410740891037,0.38897027051326316
1.333521432163324,3.8091780758257685,7.632091209544817,0.3059613424368309
1.7782794100389228,3.9159944570709833,7.8720309185783535,0.2382944329304124
2.371373705661655,4.002344378720264,8.063962017343691,0.1840842936081295
3.1622776601683795,4.071019141243495,8.215301338847325,0.14127016930771794
4.216965034285822,4.124924239557654,8.333274643958967,0.10784395520666629
5.623413251903491,4.166796957029043,8.424412072994288,0.08198574133612548
7.498942093324558,4.1990573506542646,8.494324449157267,0.062126232918630335
10.0,4.223753679723578,8.54766391856008,0.046959624313751044
