alpha,rmse_fit,rmse_truth,amp_ratio
0.0001,0.22220593022861795,13.198324021691775,4.129879106576993
0.0001333521432163324,0.2327020623329665,11.52013825312623,3.7716297527668403
0.00017782794100389227,0.2429036014271131,10.056329123781495,3.4740334114481994
0.00023713737056616554,0.2528667641593856,8.777781360275643,3.228544023769176
0.00031622776601683794,0.26264644908108736,7.658715089678255,3.0273341191882444
0.00042169650342858224,0.2722933067514114,6.677027334456296,2.863403904172744
0.0005623413251903491,0.2818518021602366,5.814376801619869,2.7306054764295453
0.0007498942093324559,0.29136188217793846,5.055950842721669,2.623581970768194
0.001,0.3008681056590895,4.389883343727494,2.5376440841396395
0.001333521432163324,0.31044001008829436,3.8064363637398597,2.468630807153879
0.0017782794100389228,0.3202066049480124,3.2971969294651164,2.412799245004112
0.0023713737056616554,0.33040813700982363,2.854556621926673,2.3667586432477012
0.0031622776601683794,0.34147100121558926,2.4716311414815975,2.3274311780426618
0.004216965034285823,0.3541158187815851,2.14264388011523,2.2920103118266613
0.005623413251903491,0.3695094182959581,1.8637539089015993,2.2578984954556782
0.007498942093324558,0.38946029602313925,1.6343672397456965,2.2226257149157336
0.01,0.41662269546468234,1.458946417459918,2.183765784198305
0.01333521432163324,0.4546177093921342,1.3487102928667922,2.1388747335229157
0.01778279410038923,0.5079334048023623,1.3208706463695374,2.085477875864853
0.023713737056616554,0.5815082227810217,1.3923343919032631,2.0211316626294833
0.03162277660168379,0.6800524824127727,1.5708143134512382,1.9435817375660391
0.042169650342858224,0.8072973143468931,1.8525930374002029,1.8510246109500352
0.05623413251903491,0.9653291932563891,2.227367035360784,1.7424524634719083
0.07498942093324558,1.154056044422429,2.682179798577666,1.6180205322288699
0.1,1.3708304381462892,3.201833731719555,1.4793374471792913
0.1333521432163324,1.6103270490132204,3.768124671923875,1.3295632907373742
0.1778279410038923,1.8648127934868743,4.359873879824061,1.1732278269180128
0.23713737056616552,2.124882464438672,4.954261485284091,1.0157538119705338
0.31622776601683794,2.3805863366861413,5.529087427716409,0.8627651629413795
0.4216965034285822,2.622716552769355,6.065231128811728,0.7193393387268261
0.5623413251903491,2.843933479835466,6.548578258529291,0.589390481243646
0.7498942093324559,3.039454277783458,6.970934378426731,0.47532644331459745
1.0,3.2071852942930517,7.329828769602896,0.37802523565495694
1.333521432163324,3.3473712245130876,7.627463183335846,0.2970724648957695
1.7782794100389228,3.4619619145272833,7.869242690345842,0.23113974707782714
2.371373705661655,3.553917152613106,8.06230719000431,0.17838194282266878
3.1622776601683795,3.62660736588353,8.214335070942518,0.1367700329578687
4.216965034285822,3.683381754851355,8.332720211793069,0.10432526780691427
5.623413251903491,3.727306456769846,8.424099982440012,0.07925696993114502
7.498942093324558,3.761039215263093,8.494152615926229,0.06002483892252927
10.0,3.7867971664032773,8.54757188580476,0.04535073415157392
