dir,run,type,sigma,seed,eval_step,oracle_epoch,oracle_rmse,tik_disc_rmse,tik_oracle_rmse,tau,epoch,rmse_truth,fit
e2b,corr2_s1,corr,2.0000,1,1,13,2.9363,3.1031,3.1031,1.1000,9.0000,3.2331,2.0689
e2b,corr2_s1,corr,2.0000,1,1,13,2.9363,3.1031,3.1031,1.2000,7.0000,3.6414,2.1627
e2b,corr2_s1,corr,2.0000,1,1,13,2.9363,3.1031,3.1031,1.3000,6.0000,4.3661,2.5117
e2b,corr2_s1,corr,2.0000,1,1,13,2.9363,3.1031,3.1031,1.5000,5.0000,5.1431,2.7778
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,0.8000,41.0000,4.4197,1.5454
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,0.9000,24.0000,3.4084,1.7242
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,1.0000,17.0000,3.0400,1.9406
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,1.1000,10.0000,3.2921,2.0709
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,1.2000,9.0000,3.5576,2.2620
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,1.3000,8.0000,3.8923,2.3521
e2b,corr2_s2,corr,2.0000,2,1,19,3.0195,3.0678,3.0678,1.5000,6.0000,5.0937,2.7808
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,0.8000,34.0000,6.7258,2.3429
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,0.9000,13.0000,3.8430,2.6074
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,1.0000,12.0000,3.9860,2.8984
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,1.1000,10.0000,4.3313,3.0467
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,1.2000,7.0000,5.2618,3.4689
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,1.3000,5.0000,5.8255,3.6635
e2b,corr3_s0,corr,3.0000,0,1,13,3.8430,3.9928,3.8838,1.5000,2.0000,7.3729,4.2793
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,0.8000,42.0000,6.5783,2.3140
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,0.9000,28.0000,5.5657,2.5645
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,1.0000,13.0000,4.0036,2.8500
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,1.1000,7.0000,4.6419,3.1338
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,1.2000,5.0000,5.5223,3.4588
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,1.3000,5.0000,5.5223,3.4588
e2b,corr3_s1,corr,3.0000,1,1,14,3.9716,4.0283,3.8987,1.5000,3.0000,7.0813,4.1060
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,0.8000,42.0000,7.2956,2.3223
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,0.9000,15.0000,3.8725,2.6211
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,1.0000,9.0000,3.9738,2.9004
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,1.1000,9.0000,3.9738,2.9004
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,1.2000,6.0000,5.1242,3.3477
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,1.3000,5.0000,5.7340,3.6032
e2b,corr3_s2,corr,3.0000,2,1,12,3.7021,3.9702,3.8493,1.5000,3.0000,7.1536,4.1576
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,0.8000,,,
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,0.9000,,,
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,1.0000,100.0000,0.5913,0.4897
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,1.1000,50.0000,0.7105,0.5391
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,1.2000,40.0000,0.8094,0.5768
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,1.3000,40.0000,0.8094,0.5768
e2,white0.5_s0,white,0.5000,0,10,100,0.5913,1.2025,1.1269,1.5000,40.0000,0.8094,0.5768
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,0.8000,,,
