alpha,rmse_fit,rmse_truth,amp_ratio
0.0001,0.3393900651080223,15.13312523759285,4.55879146774188
0.0001333521432163324,0.3496987545885408,12.933602379160424,4.07067958721212
0.00017782794100389227,0.35952494682033664,11.039776237368432,3.6703550732635315
0.00023713737056616554,0.3688825601634113,9.412728390417623,3.3464319131942566
0.00031622776601683794,0.3777909414550197,8.017394929142505,3.087942658296516
0.00042169650342858224,0.38627489049431096,6.822541840174397,2.8844458627925684
0.0005623413251903491,0.39436598935534206,5.8006083982430425,2.7261913177346475
0.0007498942093324559,0.4021060358811057,4.927467457107512,2.6043052821644
0.001,0.40955377019023914,4.182142306576908,2.510939829628896
0.001333521432163324,0.41679713893309855,3.546514225616321,2.4393418425726274
0.0017782794100389228,0.4239747188118731,3.005057127726436,2.3838268591498153
0.0023713737056616554,0.43131197779669306,2.544647457760808,2.3396712692650774
0.0031622776601683794,0.43918137856749906,2.1545212878977624,2.302951088115894
0.004216965034285823,0.44819856099135874,1.8264946506260074,2.2703567321447755
0.005623413251903491,0.45936869298628513,1.5556332820590222,2.239007490873604
0.007498942093324558,0.4742914543931156,1.341595833668273,2.2062831096145596
0.01,0.49540747481521075,1.1905491039303566,2.1696864257321
0.01333521432163324,0.5262121040939957,1.116022068038009,2.1267510550371878
0.01778279410038923,0.571283716446282,1.1346807585769105,2.0750107762863457
0.023713737056616554,0.6359472235535893,1.2564527569089183,2.0120500544506736
0.03162277660168379,0.7255230237608578,1.479349627914887,1.9356536410449998
0.042169650342858224,0.844360837203359,1.7945544131205207,1.8440613950203142
0.05623413251903491,0.9949695989725894,2.192152205122471,1.736307676711939
0.07498942093324558,1.1774185171299083,2.661778039443433,1.612584897151453
0.1,1.389019105949643,3.190788194735305,1.4745315820186962
0.1333521432163324,1.6243003645119742,3.7628649867585904,1.3253295409368715
0.1778279410038923,1.8753553075757043,4.358093976055504,1.1695223465191316
0.23713737056616552,2.1326191736621865,4.954478867617998,1.0125397754725285
0.31622776601683794,2.3860126379937405,5.53035662948619,0.8600076842381262
0.4216965034285822,2.626229380917728,6.066960718396724,0.7170023277367867
0.5623413251903491,2.8458570816753195,6.550412099418355,0.5874353317542064
0.7498942093324559,3.0400590869575472,6.97267217686565,0.47371217932103343
1.0,3.2067004581489185,7.331371406129595,0.3767096000918656
1.333521432163324,3.345992523724216,7.628774672794267,0.2960134342701687
1.7782794100389228,3.4598566605067047,7.870323995433024,0.2302970622652239
2.371373705661655,3.551227333595831,8.063178741290608,0.17771838996592196
3.1622776601683795,3.6234521357636087,8.215025640951618,0.1362523371039435
4.216965034285822,3.679859685316724,8.33326028171321,0.103924561813654
5.623413251903491,3.723497893076433,8.424518143317986,0.0789488752783057
7.498942093324558,3.7570087019221083,8.494473909429885,0.05978924316623436
10.0,3.782595878151808,8.547817304687786,0.04517136950038877
