Epoch,Total,L_phy,rmse_fit,rmse_holdout,rmse_truth
0.0,24.72512435913086,24.722593307495117,4.779763587393263,,8.539043371855987
1.0,13.684741020202637,13.674446105957031,4.6510233627399264,,8.221685708950382
2.0,13.456941604614258,13.436667442321777,4.438785983247562,,7.641387542166139
3.0,9.271313667297363,9.235932350158691,4.158689553691968,,6.856124110026601
4.0,9.25672435760498,9.207781791687012,3.9739445970071494,,6.2365270641321136
5.0,9.902234077453613,9.850954055786133,3.7502755779026344,,5.5325536771257235
6.0,9.33304214477539,9.280741691589355,3.5239536042609974,,4.8000257445834125
7.0,9.343469619750977,9.291184425354004,3.3874603574066664,,4.250574280541892
8.0,9.333621978759766,9.283427238464355,3.2844527328202315,,3.8044783069285995
9.0,8.935592651367188,8.887144088745117,3.5159188132052934,,3.893818589670329
10.0,9.165440559387207,9.118762016296387,3.5039077578400453,,3.7344644199120394
11.0,9.15945816040039,9.113630294799805,3.206431527136677,,3.2370433703065156
12.0,8.821351051330566,8.775687217712402,3.143219215333252,,3.019547041436182
13.0,9.015212059020996,8.969040870666504,3.143175572914943,,2.9101071088037536
14.0,9.095834732055664,9.04871654510498,3.050798497503897,,2.7331145195041504
15.0,8.80091381072998,8.75232982635498,3.4832461502770844,,3.255655596555604
16.0,8.73633861541748,8.685791015625,3.7653535350357825,,3.544250638025188
17.0,8.855795860290527,8.803200721740723,3.4673228477313467,,3.087982240503042
18.0,8.717293739318848,8.662671089172363,2.9847264313924544,,2.355978959806407
19.0,8.551393508911133,8.49473762512207,3.1086751129638674,,2.6859343690210964
20.0,8.576667785644531,8.516510963439941,3.21201673924908,,3.135035215029382
21.0,8.505229949951172,8.441603660583496,3.287838954859514,,3.63232977590192
22.0,8.437095642089844,8.369856834411621,3.3328894941475493,,3.8721731496338125
23.0,8.378217697143555,8.307112693786621,3.8644370988494456,,4.46806642386778
24.0,8.449592590332031,8.374996185302734,3.551188464548096,,4.083522333127794
25.0,8.355310440063477,8.27770709991455,3.157833395293903,,3.5023450876752458
26.0,8.383496284484863,8.303167343139648,3.1101141171692843,,3.310108583497641
27.0,8.402220726013184,8.319792747497559,2.9553074975111557,,3.084702130307243
28.0,8.278273582458496,8.194188117980957,3.0813812899822928,,3.3567578582882405
29.0,8.29887866973877,8.212614059448242,3.0290268590619682,,3.4939027736743533
30.0,8.270185470581055,8.1814603805542,3.1145432293512414,,3.688082397342256
31.0,8.307530403137207,8.21651840209961,3.0276567445597125,,3.630095465517621
32.0,8.258506774902344,8.165862083435059,3.0086025558003655,,3.538830790091945
33.0,8.281822204589844,8.188141822814941,2.9152957862705344,,3.4284117240832885
34.0,8.272547721862793,8.177536964416504,2.950116219325591,,3.482071081012214
35.0,8.223231315612793,8.12646198272705,2.9721747221450086,,3.520643652961623
36.0,8.180970191955566,8.082395553588867,2.8606949215188995,,3.491156107937919
37.0,8.200053215026855,8.099895477294922,2.8688253114609155,,3.528028065695047
38.0,8.192380905151367,8.090435981750488,2.999235070102364,,3.626993345492586
39.0,8.182090759277344,8.078453063964844,2.9135625805548346,,3.5777874729014028
40.0,8.165680885314941,8.0608549118042,2.8738798407130717,,3.579462917938859
41.0,8.202160835266113,8.096420288085938,2.8578386408203973,,3.5904349937339677
42.0,8.180352210998535,8.073190689086914,2.8869662667596896,,3.6520309510508437
43.0,8.153105735778809,8.04406452178955,2.872430407506134,,3.690816385137734
44.0,8.130879402160645,8.020188331604004,2.8483654865759247,,3.748944653639682
45.0,8.15230655670166,8.040185928344727,2.833854474176071,,3.7935889912748997
46.0,8.15471076965332,8.040919303894043,2.9397453673569918,,3.883847595620512
47.0,8.124478340148926,8.008974075317383,2.916485178120926,,3.876846052379888
48.0,8.104437828063965,7.9877238273620605,2.8225083377348414,,3.839973501488258
49.0,8.123870849609375,8.006250381469727,2.8130859301910447,,3.8392700552295063
50.0,8.10806941986084,7.989139080047607,2.9402231591224868,,3.9551318361396612
51.0,8.117995262145996,7.9972639083862305,2.906471495664708,,3.9775093771073124
52.0,8.110970497131348,7.988624572753906,2.819042802883528,,3.971746839795835
53.0,8.092446327209473,7.9686784744262695,2.8116256435102747,,4.01552274274367
54.0,8.079386711120605,7.953940391540527,2.908544405232411,,4.128524525418107
55.0,8.087411880493164,7.960135459899902,2.8868804454689005,,4.1550466456013115
56.0,8.070378303527832,7.941572189331055,2.8173413014801527,,4.15139993060874
57.0,8.090217590332031,7.9601287841796875,2.809872534857574,,4.150131232887144
58.0,8.083829879760742,7.95231294631958,2.9293582768481614,,4.216612310461771
59.0,8.060919761657715,7.927811145782471,2.892333852462774,,4.202762487777826
60.0,8.051750183105469,7.917144775390625,2.8102535885132283,,4.1905694566718505
61.0,8.0638427734375,7.927806377410889,2.8011019758871596,,4.226389980221987
62.0,8.047008514404297,7.9093546867370605,2.9093553944780632,,4.344615349630121
63.0,8.052229881286621,7.912800312042236,2.8898381241292235,,4.377580483308913
64.0,8.046439170837402,7.905431270599365,2.801894000413872,,4.353032257975909
65.0,8.04300594329834,7.900595188140869,2.7954865735017647,,4.343238490907954
66.0,8.029180526733398,7.885236740112305,2.939609305166551,,4.434338472416982
67.0,8.046344757080078,7.9007344245910645,2.912602394341157,,4.430187392118606
68.0,8.036642074584961,7.8895087242126465,2.792671388600788,,4.387932749458248
69.0,8.016011238098145,7.867457389831543,2.7892687632359485,,4.427153626947026
70.0,8.00561237335205,7.855407238006592,2.9154262033724834,,4.544586962912173
71.0,8.043657302856445,7.891533851623535,2.876335526220093,,4.5546433864594436
72.0,8.037190437316895,7.883330345153809,2.796544246696611,,4.536394157206255
73.0,7.999619007110596,7.8441972732543945,2.78869689813646,,4.538686285344534
74.0,7.993468284606934,7.836344242095947,2.8870070901064744,,4.603727906067284
75.0,8.020415306091309,7.861473083496094,2.861184838122651,,4.60496257150789
76.0,8.002598762512207,7.841955184936523,2.797436458749291,,4.6101930024921485
77.0,8.001440048217773,7.839139938354492,2.7921178309898718,,4.64702412675618
78.0,7.993988990783691,7.829841613769531,2.849724013562982,,4.712748805012385
79.0,7.9938836097717285,7.827752113342285,2.819411225971706,,4.729217368154826
80.0,7.986663818359375,7.818700790405273,2.818635989045374,,4.766189047575231
81.0,7.98896598815918,7.819331645965576,2.802418434518817,,4.769772257917773
82.0,7.9795331954956055,7.808189392089844,2.836251257273665,,4.798066433650443
