Epoch,Total,L_phy,rmse_fit,rmse_holdout,rmse_truth
0.0,21.918161392211914,21.917251586914062,4.775598124144455,,8.592604398798569
1.0,13.05323600769043,13.04491138458252,4.634914956752398,,8.280199497993632
2.0,9.391806602478027,9.366236686706543,4.456940810845775,,7.838506961193305
3.0,9.691461563110352,9.656808853149414,4.157634515429275,,7.15355999206093
4.0,7.99426794052124,7.951250076293945,3.870692534964504,,6.415862351369664
5.0,9.00973129272461,8.962599754333496,3.603192170169008,,5.734022182526177
6.0,8.543313026428223,8.493745803833008,3.3477271455130357,,5.124249974351666
7.0,7.626404762268066,7.575419902801514,3.3872175261083974,,4.90065961972725
8.0,7.999869346618652,7.94877815246582,3.293319053151365,,4.587782881502742
9.0,7.935093402862549,7.882721900939941,2.9003718219801518,,3.9737713329146622
10.0,7.232463836669922,7.178088665008545,3.678607970784746,,4.403819300664296
11.0,7.4845099449157715,7.427596569061279,3.4183878716437075,,4.1932479659657504
12.0,7.311326503753662,7.251899719238281,2.7323643725883624,,3.702079600226814
13.0,6.963902950286865,6.90224027633667,2.8639613649638136,,3.8993391980889385
14.0,7.0030059814453125,6.938418865203857,2.738729993739688,,3.8645700911088063
15.0,6.8531622886657715,6.78494930267334,2.6210753087948677,,3.872504687197954
16.0,6.7523512840271,6.680192470550537,2.6531770564174333,,3.9931011986549656
17.0,6.681721210479736,6.604889869689941,2.895264387639584,,4.255090238635172
18.0,6.578057765960693,6.496062278747559,2.821549939172568,,4.336471932506284
19.0,6.500507354736328,6.4136433601379395,2.6508923457399516,,4.469397942607518
20.0,6.451981544494629,6.360532760620117,2.5751764375643194,,4.612330776960479
21.0,6.364598274230957,6.267623424530029,2.851684841474215,,5.10733848872428
22.0,6.356583118438721,6.2528181076049805,2.6037800756452207,,5.473100671816895
23.0,6.2984819412231445,6.1889824867248535,2.4620058820513386,,5.693049039910562
24.0,6.214081764221191,6.099276065826416,2.6044385353972936,,5.8429949672230865
25.0,6.235123157501221,6.114860534667969,2.4297891264672127,,5.84929279722293
26.0,6.170856475830078,6.045128345489502,2.3990450763052564,,5.8981179111931805
27.0,6.108968257904053,5.977975368499756,2.401610559738477,,5.886552134398277
28.0,6.087828159332275,5.9512810707092285,2.46795214697009,,5.8696662616686215
29.0,6.0825114250183105,5.940310955047607,2.4953088250661577,,5.850957260341224
30.0,6.043924808502197,5.896725177764893,2.4215857503656104,,5.834764431900194
31.0,6.010673999786377,5.8585205078125,2.379005698451961,,5.875306991964939
32.0,5.995537757873535,5.838445663452148,2.549953759645924,,6.067286697513134
33.0,5.991902828216553,5.829125881195068,2.3828779414552583,,6.125798973744287
34.0,5.949871063232422,5.782154560089111,2.3626009018723972,,6.27425888082246
35.0,5.926571846008301,5.753937244415283,2.456521431907283,,6.440842811678387
36.0,5.963602066040039,5.785921096801758,2.348485021943456,,6.50070117239929
37.0,5.8950324058532715,5.711889743804932,2.485275667091598,,6.628587063777228
38.0,5.930029392242432,5.74207878112793,2.3947905611000744,,6.662641022866762
39.0,5.912182807922363,5.719946384429932,2.335897516608467,,6.726354415484307
40.0,5.8496880531311035,5.652842044830322,2.403383689107033,,6.952346440652147
41.0,5.901885032653809,5.698115825653076,2.446621430507681,,7.154395928384816
42.0,5.904271125793457,5.696123123168945,2.3223394293037747,,7.295596655491086
43.0,5.829920768737793,5.618283271789551,2.4955256427474195,,7.487255040866969
44.0,5.852176666259766,5.634523868560791,2.8500646249471817,,7.755079272733268
45.0,5.900531768798828,5.677670478820801,2.4750186884952408,,7.706391023928548
46.0,5.815444469451904,5.588770389556885,2.3905534165741504,,7.748946548618208
47.0,5.82765007019043,5.59764289855957,2.4530155394023803,,7.84904712362414
48.0,5.899415969848633,5.664893627166748,2.395111041811291,,7.860243438083107
49.0,5.879952907562256,5.641130447387695,2.2956396566793673,,7.8092960618911
50.0,5.801089763641357,5.558794975280762,2.6394703046038464,,7.943465070751273
51.0,5.759781360626221,5.514105796813965,2.6678135121600666,,7.94948848988837
52.0,5.775158405303955,5.52645206451416,2.39484536938448,,7.856745621554895
53.0,5.742173671722412,5.490030288696289,2.3459702240614737,,7.892633234867279
54.0,5.767817974090576,5.511761665344238,2.3328055636120464,,7.891128930844947
55.0,5.782463550567627,5.523223876953125,2.2949072180692056,,7.895377842001127
56.0,5.753802299499512,5.4916863441467285,2.564681552894049,,7.987381564741526
57.0,5.745578765869141,5.4799418449401855,2.5609113838602706,,7.946567128813901
58.0,5.738514423370361,5.469474792480469,2.424658819768724,,7.93942735654494
59.0,5.738631725311279,5.4663567543029785,2.4126668594726293,,8.047781994447151
60.0,5.729580402374268,5.453927993774414,2.2854200436435153,,8.076622510835268
61.0,5.698541164398193,5.419697284698486,2.2681218262264715,,8.098633607086136
62.0,5.69528865814209,5.4127092361450195,2.4671016996919013,,8.196885190428215
63.0,5.73336935043335,5.447134971618652,2.4247657248627226,,8.183034481947137
64.0,5.691725730895996,5.40226411819458,2.2905961902941274,,8.126083910402295
65.0,5.78554630279541,5.493063449859619,2.28426810082862,,8.147202559647653
66.0,5.740046501159668,5.444300651550293,2.348448845215947,,8.235075462187762
67.0,5.747892379760742,5.44889497756958,2.338682327374613,,8.284218390155983
68.0,5.752063274383545,5.450491905212402,2.2773536974803137,,8.290170267917926
69.0,5.676436901092529,5.372744083404541,2.2606560814150503,,8.312034499870625
70.0,5.65936279296875,5.353109359741211,2.5171332406468854,,8.419257358975406
71.0,5.760166168212891,5.451047420501709,2.5004321109259537,,8.409416138390869
72.0,5.750761032104492,5.43923807144165,2.265729599959492,,8.308013342137915
73.0,5.674415588378906,5.361025810241699,2.265593207100873,,8.290086337172022
74.0,5.666170597076416,5.351230144500732,2.2798029288529733,,8.303621122553393
75.0,5.67903470993042,5.361823558807373,2.2662141566868472,,8.316478324175579
76.0,5.6675286293029785,5.347824573516846,2.3501062114861084,,8.377543177061892
77.0,5.712125778198242,5.390106678009033,2.270302660745612,,8.398017094888136
78.0,5.682864189147949,5.358417987823486,2.382701316837155,,8.48190801468841
79.0,5.666219711303711,5.339459419250488,2.3596400443690038,,8.48941687039272
80.0,5.664175987243652,5.335486888885498,2.266933238633976,,8.445058512953755
81.0,5.663752555847168,5.333281517028809,2.2752767767582083,,8.436406645867113
82.0,5.6454997062683105,5.312875747680664,2.2886152355425375,,8.42531911001988
83.0,5.6879730224609375,5.353107452392578,2.2852478242086383,,8.399360311115505
84.0,5.682602405548096,5.345974445343018,2.2663480015371804,,8.362377362456115
85.0,5.634280204772949,5.296245574951172,2.248139843884684,,8.360534928134866
86.0,5.627126693725586,5.28711462020874,2.380397460856759,,8.433327445590937
87.0,5.677583694458008,5.3351898193359375,2.3288623157868393,,8.42161535847395
88.0,5.660388946533203,5.316061019897461,2.2658911360700493,,8.381916231706166
89.0,5.639479637145996,5.293795585632324,2.2821137521823163,,8.352764951523937
90.0,5.634657382965088,5.287484645843506,2.26756694810209,,8.308751250393684
91.0,5.644484996795654,5.295327663421631,2.259376396202604,,8.287678563638943
92.0,5.632909774780273,5.281894683837891,2.283318859220363,,8.286272541719027
93.0,5.644230842590332,5.29164457321167,2.261785851958062,,8.292313602515106
94.0,5.637549877166748,5.283130645751953,2.293057144794978,,8.338175430909352
95.0,5.626482963562012,5.2699360847473145,2.260200689625684,,8.354099961961442
96.0,5.615825653076172,5.2573065757751465,2.308660816110789,,8.388433403501828
97.0,5.647258758544922,5.287112712860107,2.2930861725408276,,8.372471080939002
98.0,5.638244152069092,5.276293754577637,2.2671142955297037,,8.326796879995785
99.0,5.6159348487854,5.252060413360596,2.275676912642618,,8.278917014120815
100.0,5.609032154083252,5.243587493896484,2.26692710334599,,8.218840023971088
101.0,5.636836528778076,5.269989967346191,2.26057221166469,,8.190450720454598
102.0,5.628538608551025,5.259990692138672,2.27583035928231,,8.185729665648235
103.0,5.609946250915527,5.239566802978516,2.256991578892407,,8.216702018323899
104.0,5.600698471069336,5.228786945343018,2.2830948159603466,,8.317676849591663
105.0,5.63580322265625,5.262250900268555,2.258472533552557,,8.405621385834142
106.0,5.626814365386963,5.25113582611084,2.2801691120845358,,8.49880438256644
107.0,5.602547645568848,5.22459077835083,2.2612823052318425,,8.444598224066471
108.0,5.596235752105713,5.216856002807617,2.2766937657913444,,8.367046481080706
109.0,5.625226020812988,5.244633197784424,2.263220735397949,,8.294803367260721
110.0,5.614253520965576,5.231942176818848,2.281292270008187,,8.246875367358232
111.0,5.6014275550842285,5.217251300811768,2.2806581740578795,,8.22203006968217
112.0,5.595673561096191,5.210086345672607,2.2589770758762513,,8.219029993417932
113.0,5.611793518066406,5.224754333496094,2.2525884100005706,,8.25649439807317
114.0,5.6032185554504395,5.214272499084473,2.272321952062368,,8.30383079386531
115.0,5.600645542144775,5.209733963012695,2.2623358418950907,,8.36133047916673
116.0,5.593533039093018,5.201088905334473,2.2488612148167864,,8.441314507528661
117.0,5.601387023925781,5.207559585571289,2.235070033802215,,8.548843950800162
118.0,5.593471050262451,5.197726726531982,2.283777468739409,,8.673329900119228
119.0,5.599663734436035,5.201777458190918,2.2499914010514708,,8.649796399529778
120.0,5.591679096221924,5.192179203033447,2.2631130642844033,,8.586839768150687
121.0,5.597308158874512,5.19667911529541,2.244111980202497,,8.48716435467591
122.0,5.589229106903076,5.187273025512695,2.291960694181993,,8.427060583396797
123.0,5.593794345855713,5.190239906311035,2.276106082744537,,8.359188812361852
124.0,5.587449550628662,5.182502269744873,2.257787860685707,,8.3048632831581
125.0,5.590035915374756,5.184045791625977,2.2581923803932624,,8.306784382344803
126.0,5.584325790405273,5.177021026611328,2.2629479117134457,,8.361392180176807
127.0,5.588765621185303,5.17966365814209,2.2637191117131295,,8.462913402219959
128.0,5.582703590393066,5.171888828277588,2.2381891661446938,,8.522736108810465
129.0,5.585577011108398,5.17358922958374,2.2356200068133876,,8.581870304002933
130.0,5.579440593719482,5.166096210479736,2.2490549151897286,,8.67449658893774
131.0,5.582831859588623,5.16749382019043,2.2335678349042807,,8.740976614418567
132.0,5.575974464416504,5.158937454223633,2.247717830763509,,8.738771273767444
133.0,5.583980083465576,5.166022777557373,2.2299997814299215,,8.711273541379317
134.0,5.576442241668701,5.157045841217041,2.2691580780908787,,8.699995113597048
135.0,5.5793890953063965,5.158116817474365,2.2411080766970746,,8.592446717725368
136.0,5.571722984313965,5.14940071105957,2.2644120292752667,,8.506501211253203
137.0,5.5792436599731445,5.1565070152282715,2.240760942488357,,8.509412966884645
138.0,5.5704264640808105,5.146273136138916,2.2767629288531426,,8.58180858922162
139.0,5.5787482261657715,5.152673721313477,2.2604544497782273,,8.57588133727212
140.0,5.572926044464111,5.1457648277282715,2.249291530050089,,8.548263783526723
141.0,5.5707783699035645,5.142913818359375,2.242515296647268,,8.6038193514642
142.0,5.565682411193848,5.136236667633057,2.256509910806201,,8.664640714530336
143.0,5.57440185546875,5.143258094787598,2.2516658676775165,,8.673803389488366
144.0,5.569570064544678,5.137243747711182,2.241984347571173,,8.653265183059492
145.0,5.565678596496582,5.132361888885498,2.2378334873564754,,8.667529377692372
146.0,5.56115198135376,5.126400947570801,2.2511260939655635,,8.68170696496658
147.0,5.570008754730225,5.133751392364502,2.2441844329579657,,8.698663336329505
148.0,5.564519882202148,5.127026081085205,2.239948075715193,,8.664404294357233
149.0,5.5623064041137695,5.124255180358887,2.2353421471212136,,8.66499350296327
150.0,5.5574421882629395,5.118512153625488,2.2489895806502553,,8.757872144381835
151.0,5.566254615783691,5.1254496574401855,2.2407535157849465,,8.823017092527285
152.0,5.560424327850342,5.1181416511535645,2.2390844893615602,,8.756089171005462
153.0,5.560301303863525,5.1176629066467285,2.234740750411961,,8.782212100119247
154.0,5.5553812980651855,5.111467361450195,2.2414581941417535,,8.822222614839038
155.0,5.561200141906738,5.1156744956970215,2.2383595615816723,,8.808753319889329
156.0,5.5559563636779785,5.109474182128906,2.237345726960103,,8.784010809084782
157.0,5.557163715362549,5.109922885894775,2.2339708117623127,,8.75089722679808
158.0,5.553041458129883,5.105029106140137,2.2382732305237383,,8.80404877417354
159.0,5.559822082519531,5.110271453857422,2.235867155174217,,8.830028353661385
160.0,5.557298183441162,5.106521129608154,2.22917275900148,,8.935323054454528
161.0,5.562758922576904,5.110783100128174,2.2222142961133113,,8.951922320050421
162.0,5.558377265930176,5.10532808303833,2.224203617434086,,9.128870624681905
163.0,5.554043769836426,5.09850549697876,2.2165633064968,,8.985907337381597
164.0,5.5448150634765625,5.089061737060547,2.23697318350027,,8.855440327495742
165.0,5.5643630027771,5.108915328979492,2.22064847999278,,8.84760806355704
166.0,5.555604934692383,5.098902225494385,2.235366738811703,,8.814406666885084
167.0,5.548134803771973,5.090595722198486,2.216349799919377,,8.870902413364178
168.0,5.546564102172852,5.088041305541992,2.223830792625312,,8.977573709875143
169.0,5.561589241027832,5.1018805503845215,2.2129776671450507,,9.021264064420231
170.0,5.548062324523926,5.087963581085205,2.2263770804791405,,9.12203825530421
171.0,5.544015884399414,5.082249641418457,2.2078221760184986,,9.021156099162265
172.0,5.539477348327637,5.077131271362305,2.2305423140213008,,8.910999737962698
173.0,5.5508809089660645,5.088947296142578,2.207854154961253,,8.992268591214092
174.0,5.536037445068359,5.072263240814209,2.236623093204321,,8.902677081759158
175.0,5.551422119140625,5.087204933166504,2.209820706357705,,8.969456859118365
176.0,5.541497707366943,5.075970649719238,2.2198084058184753,,9.02809536456478
177.0,5.545010089874268,5.078522682189941,2.2074163002513068,,9.068909550620454
178.0,5.537779331207275,5.070486068725586,2.222331263673852,,9.183447222253188
179.0,5.547235488891602,5.078376770019531,2.205551251124632,,9.02749403185971
180.0,5.529293060302734,5.060176372528076,2.2300392218259613,,8.97082605292611
181.0,5.553769111633301,5.084271430969238,2.2085367859313725,,9.01838310716796
182.0,5.534415245056152,5.06362247467041,2.236957070806274,,9.026291599088674
183.0,5.555948257446289,5.084497451782227,2.2161190559409523,,9.068792284950796
184.0,5.548069000244141,5.075648784637451,2.216939773153625,,9.062884487690289
185.0,5.536934852600098,5.064061164855957,2.210163905779974,,8.973037878107279
186.0,5.538821697235107,5.065881729125977,2.217960660793526,,9.134490810169208
187.0,5.541055679321289,5.065982341766357,2.2055130764063313,,9.096940486580008
188.0,5.533267498016357,5.057817459106445,2.2273785489331757,,9.127413117688914
189.0,5.559787273406982,5.083749771118164,2.210630679626928,,9.170340468348101
190.0,5.555274963378906,5.078324794769287,2.218511046108225,,9.200925806788076
191.0,5.53836727142334,5.06028413772583,2.203285525559407,,9.220454617855573
192.0,5.535866737365723,5.056971549987793,2.2204195964179694,,9.185444713501697
193.0,5.543700218200684,5.064672946929932,2.2024066858911593,,9.15345069198736
194.0,5.529839515686035,5.050280570983887,2.2309973104505336,,9.122382316035061
195.0,5.5477776527404785,5.067744731903076,2.203912148983872,,9.151445227374778
196.0,5.537946701049805,5.057222366333008,2.216501578159334,,9.196726050562676
197.0,5.538299560546875,5.057014465332031,2.202392938302715,,9.289532808191478
198.0,5.5385942459106445,5.056397438049316,2.2246137889159554,,9.330717875727261
199.0,5.537147521972656,5.054293632507324,2.207884205083895,,9.171479748655715
200.0,5.539103984832764,5.056429386138916,2.231028387954912,,9.056757079177945
201.0,5.536210536956787,5.053826332092285,2.2130283546585408,,9.00795855534065
202.0,5.536792278289795,5.054203987121582,2.233534260067797,,9.082804601458957
203.0,5.530858039855957,5.046947479248047,2.2100944161681535,,9.0488514159375
204.0,5.529821395874023,5.045281887054443,2.2311234258720627,,9.023420902736595
205.0,5.533273696899414,5.0483903884887695,2.206576233835718,,9.026066345204493
206.0,5.523786544799805,5.038565635681152,2.2478097241527206,,9.120702778479163
207.0,5.547377586364746,5.061517715454102,2.2147029879351097,,9.12446150749635
208.0,5.536465644836426,5.050244331359863,2.233123637132058,,9.074294023040975
209.0,5.533252239227295,5.0467987060546875,2.2116034477466546,,9.093548696870842
210.0,5.525903701782227,5.038504600524902,2.2304804718937077,,9.18875257222249
211.0,5.546665668487549,5.058125972747803,2.219036184669342,,9.29648182386546
212.0,5.535704135894775,5.045973777770996,2.227960778749086,,9.271330581756745
213.0,5.535106182098389,5.045169353485107,2.220336554335474,,9.269109171058629
214.0,5.532721042633057,5.0425848960876465,2.2185125674152,,9.264600233756665
215.0,5.53369140625,5.043389320373535,2.2110273283414847,,9.208149070510888
216.0,5.532076358795166,5.0417304039001465,2.216956536125534,,9.235816679524419
217.0,5.538717269897461,5.047443389892578,2.224661219502934,,9.27410764237839
218.0,5.535731792449951,5.043938636779785,2.2071857638815184,,9.382884978711784
219.0,5.529788017272949,5.037629127502441,2.223056705082734,,9.36463790094995
220.0,5.531108856201172,5.038971900939941,2.2100353464364573,,9.228945364259681
221.0,5.528764247894287,5.03678560256958,2.2173477967121116,,9.25893063776339
222.0,5.531626224517822,5.038920879364014,2.2028168645340838,,9.290063947476593
223.0,5.5248847007751465,5.031550884246826,2.219805413012862,,9.33425432478625
224.0,5.529627323150635,5.035528182983398,2.1972885664276394,,9.273291970801093
225.0,5.517359256744385,5.022714138031006,2.2219863627054512,,9.289988084607186
226.0,5.520408630371094,5.025445461273193,2.197901375843535,,9.372388374450301
227.0,5.517938137054443,5.021990776062012,2.2038286382244814,,9.28964685546095
228.0,5.5211687088012695,5.024855613708496,2.1943323868465296,,9.30303497443521
229.0,5.515806674957275,5.018406391143799,2.2131545421762673,,9.214468335193303
230.0,5.517301082611084,5.019756317138672,2.1942391896027478,,9.287642417445461
231.0,5.5117716789245605,5.013401985168457,2.2074572105609556,,9.234970170565326
232.0,5.515286445617676,5.016561508178711,2.2195824797077437,,9.321626058445151
233.0,5.530109405517578,5.030704021453857,2.211446312121542,,9.168017627012032
234.0,5.518142223358154,5.018620014190674,2.2085854054091327,,9.157955047334436
235.0,5.519226551055908,5.019097805023193,2.194087498936587,,9.400957131938732
236.0,5.548598289489746,5.047135829925537,2.197321463667252,,9.28110714831137
237.0,5.527888298034668,5.025759696960449,2.2575871158947876,,9.10501894039752
238.0,5.600780487060547,5.098069190979004,2.255575905380569,,9.211778715375644
239.0,5.6147236824035645,5.110955238342285,2.193338360041433,,9.506031702274157
240.0,5.565351963043213,5.06035041809082,2.229904175287866,,9.649489032753547
241.0,5.555699348449707,5.049552917480469,2.222328973012758,,9.514682482121897
242.0,5.582826137542725,5.075821876525879,2.203504607654138,,9.498984887666941
243.0,5.5598626136779785,5.053070068359375,2.2040349642900035,,9.602833927466717
244.0,5.5763421058654785,5.071423053741455,2.209786158982785,,9.50233076395082
245.0,5.572125434875488,5.067687034606934,2.2043138925594743,,9.281481697798464
246.0,5.55675745010376,5.051484107971191,2.209924981482088,,9.249662816793057
247.0,5.559661865234375,5.054921627044678,2.1933658940127403,,9.40619910344914
248.0,5.557277679443359,5.054224967956543,2.2116428610852754,,9.414087332703618
249.0,5.559599876403809,5.056568145751953,2.2264840850540177,,9.295379067237821
250.0,5.5464301109313965,5.041879653930664,2.2018209039739696,,9.31832256113754
